scenario_set,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13
base,"1.23 (0.45, 2.11)","324.1 (283.5, 367.7)","19.27 (8.71, 30.87)","4993.9 (2480.6, 7600.3)","10.59 (3.66, 16.92)","2764.6 (1128.8, 4255.9)","8.63 (2.77, 15.96)","2267.5 (867.6, 3799.8)","0.15 (0.14, 0.16)","0.83 (0.81, 0.84)","0.57 (0.55, 0.59)","0.06 (0.04, 0.08)"
ser_all_05,"1.90 (1.01, 2.94)","399.9 (348.5, 449.8)","49.66 (27.25, 71.80)","9683.1 (5796.8, 13711.2)","28.15 (13.35, 41.40)","5294.8 (2708.0, 7242.8)","21.95 (9.35, 34.73)","4416.0 (2241.1, 6629.7)","0.03 (0.02, 0.03)","0.79 (0.77, 0.81)","0.48 (0.46, 0.50)","0.03 (0.02, 0.04)"
ser_all_09,"3.25 (2.03, 4.59)","549.1 (492.3, 615.3)","65.38 (39.57, 91.56)","11761.3 (7673.6, 15836.5)","36.74 (19.86, 51.99)","6364.1 (3858.3, 8554.3)","28.88 (12.59, 42.15)","5422.7 (2819.3, 7574.1)","0.00 (0.00, 0.01)","0.74 (0.72, 0.76)","0.15 (0.13, 0.16)","0.02 (0.02, 0.03)"
ser_prep_05,"1.34 (0.66, 2.14)","332.0 (290.6, 374.3)","18.51 (9.31, 30.05)","4869.2 (2542.7, 7642.0)","10.12 (4.06, 17.46)","2727.7 (1192.2, 4261.0)","8.40 (2.92, 14.80)","2181.8 (819.9, 3710.8)","0.05 (0.04, 0.06)","0.83 (0.81, 0.84)","0.57 (0.55, 0.59)","0.06 (0.04, 0.08)"
ser_prep_09,"1.34 (0.56, 2.26)","339.2 (299.1, 386.9)","19.68 (9.08, 32.19)","5156.3 (2682.8, 7734.9)","10.73 (4.32, 18.09)","2829.9 (1176.0, 4365.9)","9.03 (3.03, 15.85)","2364.7 (905.1, 3753.7)","0.01 (0.00, 0.01)","0.82 (0.81, 0.84)","0.57 (0.56, 0.59)","0.06 (0.04, 0.08)"
ser_scre_05,"1.33 (0.66, 2.13)","334.4 (292.2, 380.7)","18.63 (8.60, 31.08)","4820.5 (2583.1, 7679.6)","10.04 (3.71, 17.47)","2693.9 (1045.6, 4368.7)","8.68 (3.03, 15.51)","2249.9 (880.2, 3863.0)","0.09 (0.09, 0.10)","0.80 (0.78, 0.82)","0.57 (0.55, 0.59)","0.06 (0.04, 0.08)"
ser_scre_09,"1.44 (0.77, 2.35)","344.9 (301.5, 394.8)","18.90 (9.57, 29.27)","4945.2 (2578.2, 7407.4)","10.29 (3.45, 16.91)","2696.5 (1020.9, 4136.0)","8.53 (3.28, 15.30)","2231.0 (933.0, 3773.7)","0.04 (0.04, 0.05)","0.78 (0.76, 0.80)","0.56 (0.54, 0.58)","0.06 (0.04, 0.08)"
ser_art_05,"1.45 (0.67, 2.48)","352.7 (312.1, 395.5)","18.64 (8.66, 30.53)","4903.7 (2349.8, 7436.6)","10.19 (3.52, 18.02)","2652.9 (1039.1, 4221.0)","8.50 (2.84, 15.38)","2272.0 (791.6, 3719.3)","0.15 (0.14, 0.16)","0.82 (0.81, 0.84)","0.49 (0.47, 0.51)","0.06 (0.04, 0.09)"
ser_art_09,"2.24 (1.25, 3.28)","463.0 (410.9, 507.9)","18.10 (9.56, 29.62)","4846.6 (2644.0, 7304.9)","9.97 (3.95, 17.83)","2639.5 (1331.9, 4315.8)","8.39 (2.52, 14.57)","2221.5 (818.6, 3465.3)","0.15 (0.14, 0.16)","0.80 (0.79, 0.82)","0.16 (0.15, 0.18)","0.06 (0.04, 0.08)"
ser_stitx_05,"1.45 (0.67, 2.35)","344.6 (300.2, 394.6)","49.93 (27.79, 72.83)","9626.1 (6095.4, 13357.1)","28.04 (13.48, 41.38)","5212.0 (2955.0, 7385.5)","22.79 (9.23, 35.55)","4554.2 (2135.6, 6627.9)","0.15 (0.14, 0.16)","0.83 (0.81, 0.84)","0.57 (0.55, 0.59)","0.03 (0.03, 0.04)"
ser_stitx_09,"1.56 (0.78, 2.46)","357.4 (315.1, 405.7)","67.62 (41.64, 91.09)","12015.9 (8125.3, 15653.2)","37.53 (21.67, 52.61)","6457.4 (4023.9, 8556.8)","30.15 (15.37, 42.94)","5558.0 (3176.6, 7651.4)","0.15 (0.14, 0.16)","0.82 (0.81, 0.84)","0.57 (0.55, 0.59)","0.03 (0.02, 0.03)"
